Model	OTU ID	Estimate	q-value	taxonomy
NB	OTU_5318	0.320590544055216	1.49127896887393e-05	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__Morganella: s__
NB	OTU_60	0.23822513807705	0.000579017805938278	k__Bacteria: p__Firmicutes: c__Bacilli: o__Lactobacillales: f__Lactobacillaceae: g__Lactobacillus: s__
NB	OTU_97	0.175145537501256	0.0242632781903538	k__Bacteria: p__Firmicutes: c__Bacilli: o__Lactobacillales: f__Aerococcaceae: g__Alloiococcus: s__
NB	OTU_119	0.378020884554146	0.00478471313712281	k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__S24-7: g__: s__
NB	OTU_7659	0.582132990406368	2.73400130298754e-07	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__: s__
NB	OTU_1	-0.107030187058562	0.000629063366968461	k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Staphylococcaceae: g__Staphylococcus: s__
NB	OTU_48	0.157330046639048	0.0187883384235563	k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Caulobacterales: f__Caulobacteraceae: g__Brevundimonas: s__diminuta
NB	OTU_3	-0.0873403484974434	0.027307507834202	k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Corynebacteriaceae: g__Corynebacterium: s__
NB	OTU_424	0.334617393097248	0.022541592728667	k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__S24-7: g__: s__
NB	OTU_16727	0.910094010413102	3.87440937586067e-10	k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__Bacteroidaceae: g__Bacteroides: s__
NB	OTU_500	0.496605697397009	1.04928972080655e-07	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__: s__
NB	OTU_39603	-0.137534608938337	0.00322714144136362	k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Streptophyta: f__: g__: s__
NB	OTU_34689	-0.130295719945594	0.0292240767937533	k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Geodermatophilaceae: g__: s__
NB	OTU_11619	0.13098005993804	0.0392293292784522	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__Trabulsiella
NB	OTU_15	0.146883975967142	0.00484429091354968	k__Bacteria: p__Firmicutes: c__Bacilli: o__Lactobacillales: f__Aerococcaceae: g__Aerococcus: s__
NB	OTU_147	-0.173867447616523	0.00110526687452293	k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhizobiales: f__Methylocystaceae: g__: s__
NB	OTU_8	-0.141243689003988	0.00632934455493827	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Pseudomonadaceae: g__Pseudomonas: s__
NB	OTU_548	0.609793684380587	9.28080952832684e-11	k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__Rikenellaceae: g__: s__
NB	OTU_27808	0.855152598818161	2.11873575023307e-16	k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__Bacteroidaceae: g__Bacteroides: s__
NB	OTU_29193	-0.168204032851048	0.000510945004365048	k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Staphylococcaceae: g__Staphylococcus
NB	OTU_18338	0.253838594158743	0.00799479533136789	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__Serratia: s__marcescens
NB	OTU_1739	-0.209772566664115	0.0139002881985093	k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__Flavobacteriaceae: g__Flavobacterium: s__
NB	OTU_1264	0.214529991143732	0.00526352989327586	k__Bacteria: p__Bacteroidetes: c__Cytophagia: o__Cytophagales: f__Cytophagaceae: g__Hymenobacter: s__
NB	OTU_41682	-0.132950018845478	0.0166602996913206	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Pseudomonadaceae: g__Pseudomonas: s__
NB	OTU_713	0.609362215055068	6.52632341264637e-08	k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__Porphyromonadaceae: g__Dysgonomonas: s__
NB	OTU_35997	0.210987895477124	0.0439213843086418	k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhizobiales: f__Brucellaceae
NB	OTU_2939	0.199584960685719	0.00700146047815607	k__Bacteria: p__Firmicutes: c__Bacilli: o__Lactobacillales: f__Lactobacillaceae: g__Lactobacillus: s__
NB	OTU_14305	0.91240211415566	2.93845244281885e-08	k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__Bacteroidaceae: g__Bacteroides: s__
NB	OTU_12781	0.173772966620794	0.00509010060353709	k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Corynebacteriaceae: g__Corynebacterium: s__
NB	OTU_15610	-0.129829064912496	0.00484429091354968	k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Planococcaceae: g__: s__
NB	OTU_1281	-0.149374293487178	0.0232585132156109	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Xanthomonadales: f__Xanthomonadaceae: g__: s__
NB	OTU_31	-0.194451589562081	0.00606586692950044	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Pseudomonadaceae: g__Pseudomonas: s__
NB	OTU_606	-0.176205784138631	0.039890995735473	k__Bacteria: p__Firmicutes: c__Clostridia: o__Clostridiales: f__Lachnospiraceae
NB	OTU_38735	-0.481639992795343	3.64493621361483e-17	k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhizobiales: f__Methylobacteriaceae: g__Methylobacterium
NB	OTU_41	0.212338065172511	3.95018963583395e-06	k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Micrococcaceae: g__Kocuria: s__palustris
NB	OTU_173	-0.324526004508747	0.000179345333799627	k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Corynebacteriaceae: g__Corynebacterium: s__
NB	OTU_96	-0.102040346922523	0.0248606686182928	k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Actinomycetaceae: g__Actinomyces: s__
NB	OTU_34713	-0.155363670369355	0.00364917788786018	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Pseudomonadaceae: g__Pseudomonas: s__viridiflava
NB	OTU_62	0.217347538635406	0.00806466456600735	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__Halomonadaceae: g__Halomonas: s__
NB	OTU_20711	-0.107150992796835	0.0437098858016342	k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Streptophyta: f__: g__: s__
NB	OTU_1006	0.770218446009106	6.08166871603675e-13	Unassigned
NB	OTU_286	-0.109320655991053	0.0189313255527071	k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Actinomycetaceae: g__Actinomyces: s__
