OTU_IDs	Poiss_Coeff	Poiss_pval	Poiss_qval	NB_Coeff	NB_pval	NB_qval	ZINB_Coeff	ZINB_pval	ZINB_qval	mean in group High	mean in group Low	High_minus_Low_mean	ttest_pval	ttest_qval	KW_pval	KW_qval	NB_Coeff_Estimate_Error	# of 0's in High	# of 0's in Low	# of non-zeroes in High	# of non-zeroes in Low	Total count in High	Total count in Low	mean_otu	variance_otu	var/mean ratio	Shapiro_Wilk_Normality_pvalue	taxonomy	pois_filt_pval	pois_filt_qval	nb_filt_pval	nb_filt_qval	zinb_filt_pval	zinb_filt_qval	aic.pois	aic.nb	aic.zinb	bic.pois	bic.nb	bic.zinb	aic.filt.pois	aic.filt.nb	aic.filt.zinb	bic.filt.pois	bic.filt.nb	bic.filt.zinb	aic.nonfilt.best	bic.nonfilt.best	aic.filt.best	bic.filt.best
OTU_74	1.13971084811415	5.41611189958893e-18	8.37804809467663e-18	1.1397108481133	0.660374291612441	0.813323462432987	NA	NA	NA	249.615384615385	284.489361702128	-34.8739770867431	0.724010122115379	0.895962526117781	0.500342264531279	0.86115530665761	no	0	0	26	47	6490	13371	272.068493150685	238961.425799087	878.313482872631	2.56396117188952e-14	k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Brevibacteriaceae: g__Brevibacterium: s__paucivorans	1.74758676191943e-175	1.23003222088944e-174	0.0554842863141905	0.410394591069673	NA	NA	32900.7526676902	962.021114919408	NA	32905.3335865725	968.892493242853	NA	12795.5155981365	875.706756745215	NA	12800.0965170188	882.57813506866	NA	NB	NB	NB	NB
OTU_26	1.32989028134178	5.34764977990035e-176	1.51262093774324e-175	1.32989028134203	0.337282593177903	0.55651627874354	NA	NA	NA	536.038461538462	712.872340425532	-176.83387888707	0.487815447264587	0.754589519987408	0.115844827972044	0.683696100545671	no	0	0	26	47	13937	33505	649.890410958904	1081178.46004566	1663.63196288802	2.871386149177e-13	k__Bacteria: p__Firmicutes: c__Clostridia: o__Clostridiales: f__Ruminococcaceae: g__Faecalibacterium: s__prausnitzii	1.37961644721993e-223	1.20223718972022e-222	0.135594504463609	0.590229864076465	NA	NA	70638.7259943786	1087.92308625552	NA	70643.3069132609	1094.79446457896	NA	30325.3427591668	1002.02312690644	NA	30329.9236780491	1008.89450522988	NA	NB	NB	NB	NB
OTU_40317	1.53536658131859	1.31319336606514e-167	3.61128175667913e-167	1.53536658131859	0.138894745466421	0.331916447848392	1.53954121002646	0.135969527808875	0.372944990561486	216.692307692308	332.702127659574	-116.009819967267	0.179832634589844	0.659994029473068	0.817783689581603	0.954111368667977	no	0	1	26	46	5634	15637	291.383561643836	179380.545281583	615.616558015869	2.96582691592536e-12	k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Streptophyta: f__: g__: s__	3.71226196916711e-56	1.41529987574496e-55	0.366328990314544	0.739898686752348	0.348423379007335	0.883118216803428	28367.3191552981	971.850283352464	973.837585990112	28371.9000741804	978.721661675909	982.999423754706	20905.4487744233	944.744672920688	946.644174541541	20910.0296933056	951.616051244133	955.806012306135	NB	NB	NB	NB
OTU_759	0.609189400861506	9.2726788656316e-11	1.31142172528218e-10	0.609189400861506	0.134946938470759	0.331916447848392	0.586866739635843	0.0795693352160933	0.263401937267067	12.5384615384615	7.63829787234043	4.90016366612111	0.185424885742669	0.659994029473068	0.538940554311825	0.867562843526352	no	6	10	20	37	326	359	9.38356164383562	158.878614916286	16.9315896188159	2.70984885493695e-10	k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Paenibacillaceae: g__: s__	3.35694355412011e-05	5.74131467667271e-05	0.31366171706492	0.70935298192665	0.219702697040902	0.782482677558606	1154.21607905243	472.762708387793	473.27231297286	1158.79699793473	479.634086711239	482.434150737454	1051.2154780845	459.180020725163	459.560826326177	1055.7963969668	466.051399048608	468.722664090771	NB	NB	NB	NB
OTU_43333	0.40113235185123	0	0	0.401132351851247	0.00348271346422711	0.0246277594970346	NA	NA	NA	3555.30769230769	1426.14893617021	2129.15875613748	0.0760962218357414	0.659994029473068	0.159896845079643	0.683696100545671	no	0	0	26	47	92438	67029	2184.47945205479	14756766.4474886	6755.27821221109	2.6061762840834e-13	k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Staphylococcaceae: g__Staphylococcus: s__aureus	0	0	0.417121158795243	0.758616839695353	NA	NA	253574.130755442	1245.54455810128	NA	253578.711674324	1252.41593642472	NA	148257.410610559	1166.12688749382	NA	148261.991529442	1172.99826581727	NA	NB	NB	NB	NB
OTU_45227	1.33930571108623	1.84595917526715e-17	2.79007570002211e-17	1.33930571108623	0.296085601312143	0.514253939121091	1.33930386417124	0.296084979687345	0.616379047747628	46.0384615384615	61.6595744680851	-15.6211129296236	0.395643169451051	0.707626516956607	0.880926594243177	0.954111368667977	no	1	1	25	46	1197	2898	56.0958904109589	7051.69901065449	125.707943291277	9.50703898774637e-13	k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Corynebacteriaceae: g__Corynebacterium: s__	2.81046455372415e-09	5.59038057969043e-09	0.339925398799475	0.711843776309489	0.34169258721059	0.883118216803428	5916.79103063574	736.833925027228	738.83414836169	5921.37194951803	743.705303350673	747.995986126284	2997.88034261504	668.433089289254	670.315529387527	3002.46126149734	675.304467612699	679.477367152121	NB	NB	NB	NB
OTU_3735	0.607161391288556	2.3896709960987e-191	7.1690129882961e-191	0.607161390762843	0.0351057752170069	0.133671990249372	NA	NA	NA	257.038461538462	156.063829787234	100.974631751227	0.13452289285078	0.659994029473068	0.126898485011923	0.683696100545671	no	0	0	26	47	6683	7335	192.027397260274	68110.3047945205	354.690558567556	1.21056053508271e-12	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Pseudomonadaceae: g__Pseudomonas: s__viridiflava	8.7434086540264e-109	5.1614315602801e-108	0.0363218764324008	0.3949070800683	NA	NA	15452.125813274	915.475883783738	NA	15456.7067321562	922.347262107183	NA	7366.34142404131	837.356871673904	NA	7370.92234292361	844.228249997349	NA	NB	NB	NB	NB
OTU_18	1.52125686990353	8.27454471339581e-199	2.52055362038826e-198	1.52125686990353	0.0740946012804264	0.21896613512723	NA	NA	NA	269.653846153846	410.212765957447	-140.558919803601	0.22601855360092	0.659994029473068	0.600167191776035	0.884194366979735	no	0	0	26	47	7011	19280	360.150684931507	375244.018645358	1041.90838542129	3.23049836251208e-15	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__: s__	0.811014746631431	0.857894211754635	0.985196268018001	0.995677142422119	NA	NA	33758.2613160588	1008.51971728553	NA	33762.8422349411	1015.39109560898	NA	12582.3095944825	934.497960957347	NA	12586.8905133648	941.369339280792	NA	NB	NB	NB	NB
OTU_89	0.627853660234944	1.8024214744314e-250	6.48871730795304e-250	0.627853660942724	0.158340498298855	0.352263131046891	NA	NA	NA	381.576923076923	239.574468085106	142.002454991817	0.454197533007546	0.737140258487657	0.213419407899906	0.70428404606969	no	0	0	26	47	9921	11260	290.150684931507	465750.907534247	1605.20354326991	1.56895440071418e-15	k__Bacteria: p__Firmicutes: c__Bacilli: o__Lactobacillales: f__Carnobacteriaceae: g__Desemzia: s__	1.2236416408311e-67	5.2075911691184e-67	0.00840498273387571	0.284994512394588	NA	NA	50802.3286765891	954.242378156936	NA	50806.9095954714	961.113756480381	NA	3654.71362385255	698.759005887939	NA	3659.29454273485	705.630384211384	NA	NB	NB	NB	NB
OTU_161	0.701873276168184	9.87382455863822e-34	1.76127681316249e-33	0.701873276555043	0.169598223303301	0.369015914440149	NA	NA	NA	80.4230769230769	56.4468085106383	23.9762684124386	0.545115783910747	0.787831570907503	0.0462102379561562	0.609975141021262	no	0	0	26	47	2091	2653	64.986301369863	15603.4581430746	240.103803635001	1.38951922877734e-15	k__Bacteria: p__Firmicutes: c__Bacilli: o__Lactobacillales: f__: g__: s__	6.34961294525835e-48	2.03855994558294e-47	0.000329636108435022	0.019558409100478	NA	NA	7851.51591153739	760.009653483086	NA	7856.09683041969	766.881031806531	NA	1897.13951961328	648.042428191635	NA	1901.72043849558	654.91380651508	NA	NB	NB	NB	NB
